"CR-02274","HIPOTECA ESPECIAL DE PRIMER GRADO SOBRE UN INMUEBLE"
"CR-07391","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07392","HIPOTECA MOBILIARIA Y POSESION SIN PRENDA DE DESPLAZAMIENTO"
"CR-07394","FIANZA SOLIDARIA/GARANTIA REAL"
"CR-07395","FIANZA SOLIDARIA Y/O FIANZA PERSONAL"
"CR-07396","FIANZA SOLIDARIA"
"CR-07397","FIANZA SOLIDARIA"
"CR-07398","FIANZA SOLIDARIA"
"CR-07400","FIANZA PERSONAL Y/O GARANTIA REAL"
"CR-07401","FIANZA PERSONAL"
"CR-07402","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07403","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07404","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07405","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07406","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07411","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07412","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07413","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07414","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07415","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07416","FIANZA SOLIDARIA"
"CR-07417","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE URBANO"
"CR-07418","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07419","GARANTIA REAL"
"CR-07420","HIPOTECA MOBILIARIA S/LA UNIDAD DE TRANSPORTE"
"CR-07421","HIPOTECA MOBILIARIA S/LA UNIDAD DE TRANSPORTE"
"CR-07422","FIANZA PERSONAL"
"CR-07423","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07424","PRENDA S/DESPLAZAMIENTO S/MAQ. Y EQUIPOS"
"CR-07425","PRENDA SIN DESPLAZAMIENTO SOBRE MAQ. Y EQUIPOS"
"CR-07429","PRENDA SIN DESPLAZAMIENTO DE POSESION SOBRE CATORCE SEMOVIENTES"
"CR-07430","HIPOTECA ESPECIAL DE PRIMER GRADO Y PRENDA SIN DESPLAZAMIENTO DE POSESION SOBRE EL CULTIVO DE 15 HAS DE MAIZ"
"CR-07431","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07433","FIANZA SOLIDARIA"
"CR-07435","FIANZA SOLIDARIA"
"CR-07436","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07437","FIANZA SOLIDARIA DE LA LINEA EL VATICANO"
"CR-07444","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07447","FIANZA PERSONAL"
"CR-07448","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07449","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07450","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07451","FIANZA SOLIDARIA"
"CR-07455","FIANZA SOLIDARIA"
"CR-07456","FIANZA SOLIDARIA Y PRENDA S/DESPLAZAMIENTO DE POSESION"
"CR-07457","FIANZA SOLIDARIA"
"CR-07458","PRENDA SOBRE LAS MAQUINAS Y EQUIPOS"
"CR-07460","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07461","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07470","FIANZA SOLIDARIA LINEA DE TAXI ""TELE-TAXI BARINAS"""
"CR-07474","FIANZA PERSONAL"
"CR-07479","FIANZA SOLIDARIA DE LA LINEA DE TAXI ASOC. DE CONDUCTORES EL TERMINAL"
"CR-07480","FIANZA SOLIDARIA DE LA LINEA DE TAXI ASOC. CIVIL TELE TAXI BARINAS"
"CR-07481","FIANZA SOLIDARIA DE LA LINEA DE TAXI COOP. BATALLA DE BARINAS 04"
"CR-07482","PRENDA S/DESPLAZAMIENTO S/LOS EQUIPOS Y MAQUINAS"
"CR-07483","GARANTIA REAL"
"CR-07484","PRENDA S/LOS EQUIPOS ADQUIRIDOS"
"CR-07495","FIANZA SOLIDARIA"
"CR-07501","FIANZA SOLIDARIA DE LA LINEA DE TAXI ASOC. COOP. LA FE R.L."
"CR-07505","HIPOTECA MOBILIARIA S/LA UNIDAD DE TRANSPORTE"
"CR-07507","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07509","FIANZA SOLIDARIA"
"CR-07511","PRENDA S/DESPLAZAMIENTO S/MAQUINAS Y EQUIPOS"
"CR-07515","FIANZA SOLIDARIA DE LA LINEA DE TAXI ASOC. CIVIL DE CONDUCTORES DE TAXI HOSPITAL MATERNO INFANTIL"
"CR-07518","FIANZA SOLIDARIA DE LA LINEA DE TAXI RAUL LEONI"
"CR-07522","FIANZA SOLIDARIA DE LA LINEA DE TAXI ASOC. CIVIL TELE TAXI BARINAS"
"CR-07525","FIANZA SOLIDARIA DE LA LINEA DE TAXI ASOC. DE AUTOS LIBRES PARQUE LOS MANGOS"
"CR-07527","FIANZA SOLIDARIA ASOC. CIVIL DE TRANSPORTE TAXI RICEL D' VENEZUELA"
"CR-07529","FIANZA SOLIDARIA LINEA DE TAXI COOP. BATALLA DE BARINAS 04"
"CR-07530","HIPOTECA MOBILIARIA S/LA UNIDAD DE TRANSPORTE"
"CR-07532","FIANZA SOLIDARIA"
"CR-07534","FIANZA SOLIDARIA DE LA LINEA ASOC. CIVIL DE TAXI LA HORMIGUITA"
"CR-07538","FIANZA SOLIDARIA DE LA LINEA ASOC. COOP. DE TRANSPORTE DE TAXIS DOÑA ELENA"
"CR-07540","FIANZA SOLIDARIA DE LA LINEA ASOC. COOP. DE TRANSPORTE DE TAXIS DOÑA ELENA"
"CR-07542","FIANZA SOLIDARIA LINEA ASOC. COOP. TAXI LA FE  R.L."
"CR-07544","FIANZA SOLIDARIA DE LA LINEA COOP. EL VATICANO 123 R.L."
"CR-07546","HIPOYTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07560","FIANZA SOLIDARIA"
"CR-07578","FIANZA SOLIDARIA DE LA LINEA ASOC. COOPERATIVA LA FE R.L."
"CR-07580","HIPOTECA MOBILIARIA  SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07584","FIANZA SOLIDARIA DE LA LINEA COOP. BATALLA DE BARINAS 04"
"CR-07586","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07589","FIANZA SOLIDARIA ASOC. COOP. TAXI LA FE R.L."
"CR-07599","FIANZA SOLIDARIA LINEA DE TAXI BATALLA DE BARINAS"
"CR-07600","FIANZA SOLIDARIA DE LA LINEA DE TAXI ASOC. CIVIL RADIO TAXI MADRE VIEJA BARINAS"
"CR-07601","FIANZA SOLIDARIA DE LA LINEA ASOC. CIVIL DE TAXI LA HORMIGA"
"CR-07602","FIANZA SOLIDARIA LINEA ASOC. COOP. TAXI LA FE R.L."
"CR-07603","FIANZA SOLIDARIA LINEA ASOC. COOPERATIVA DE TAXI LA FE R.L."
"CR-07604","FIANZA SOLIDARIA DE LA LINEA ASOC. CIVIL RADIO MADRE VIEJA BARINAS"
"CR-07605","FIANZA SOLIDARIA DE LA LINEA COOP. BATALLA DE BARINAS 04"
"CR-07606","GARANTIA REAL"
"CR-07607","FIANZA SOLIDARIA"
"CR-07610","FIANZA SOLIDARIA LINEA COOP. EL VATICANO 123"
"CR-07611","FIANZA SOLIDARIA LINEA ASOC. CIVIL TELE TAXI BARINAS"
"CR-07612","GARANTIA REAL"
"CR-07613","FIANZA SOLIDARIA LINEA ASOC. COOP. DE TAXI BARINAS 2021"
"CR-07614","FIANZA SOLIDARIA DE LA LINEA COOP. BOLIVARIANA DE TAXI BARINAS 2021"
"CR-07616","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA BATALLA DE BARINAS 04"
"CR-07617","FIANZA SOLIDARIA ASOC. COOP. DE TRANSPORTE DE TAXIS DOÑA ELENA"
"CR-07618","FIANZA SOLIDARIA DE LA LINEA  ASOC. CIVIL DE CONDUCTORES DE TAXI HOSPITAL MATERNO INFANTIL"
"CR-07619","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA DE TAXI DE AUTOS LIBRES EL VATICANO 123"
"CR-07620","FIANZA SOLIDARIA DE LA LINEA ASOC. CIVIL DE CONDUCTORES DE TAXI HOSPITAL MATERNO INFANTIL"
"CR-07621","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07622","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA BATALLA DE BARINAS 04"
"CR-07623","FIANZA SOLIDARIA LINEA ASCO. CIVIL DE CONDUCTORES DE TAXI HOSPITAL MATERNO INFALTIL"
"CR-07624","FIANZA SOLIDARIA DE LA LINEA ASOC. COOP.TAXI LA FE R.L."
"CR-07625","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA BATALLA DE BARINAS 04"
"CR-07626","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA DE TAXIS DE RUTAS LIBRES EL VATICANO 123"
"CR-07627","FIANZA SOLIDARIA LINEA ASOC. DE CONDUCTORES EL TERMINAL ""ASO.CO.TE"""
"CR-07628","FIANZA SOLIDARIA LINEA ASOC. DE AUTOS LIBRES PARQUE LOS MANGOS"
"CR-07630","FIANZA SOLIDARIA OTORGADA POR LA ASOCIACION COOPERATIVA MATERNO INFANTIL"
"CR-07631","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA BATALLA DE BARINAS 04"
"CR-07632","FIANZASOLIDARIA OTORGADA POR LA COOPERATIVA  DE TAXIS DE AUTOS LIBRES EL VATICANO 123"
"CR-07633","FIANZA SOLIDARIA LINEA ASOC. COOPERATIVA DE TAXI ""BARINAS 2021"""
"CR-07634","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA DE TAXIS DE AUTOS LIBRES EL VATICANO 123"
"CR-07635","FIANZA OTORGADA POR LA ASOCIACION CIVIL AUTO LIBRE PARQUE LOS MANGOS"
"CR-07636","FIANZA SOLIDARIA DE LA LINEA ASOC. DE CONDUCTORES EL TERMINAL ""ASO.CO.TE"""
"CR-07637","FIANZA PERSONAL OTORGADA POR LA ASOCIACION CIVIL TAXI COROCITO"
"CR-07638","FIANZA SOLIDARIA LINEA DETAXI COOP. EL VATICANO 123 R.L."
"CR-07639","FIANZA PERSONAL"
"CR-07640","FIANZA PERSONAL OTORGADA POR LA ASOCIACION CIVIL TAXI COROCITO"
"CR-07641","FIANZA SOLIDARIA LINEA DE TAXI ASOC. COOP. DE TRANSPORTE DE TAXIS RAUL LEONI"
"CR-07642","FIANZA SOLIDARIA ASOC. CIVIL DE CONDUCTORES DE TAXI HOSPITAL MATERNO INFANTIL"
"CR-07643","FIANZA SOLIDARIA DE LA LINEA DE TAXI COOP. EL VATICANO 123 R.L."
"CR-07644","FIANZA SOLIDARIA OTOPRGADA POR LA COOPERATIVA BATALLA DE BARINAS 04"
"CR-07645","FIANZA SOLIDARIA LINEA ASOC. CIVIL DE TAXI ""LA HORMIGUITA"""
"CR-07646","FIANZA PERSONAL OTORGADA POR LA ACOCIACION COOPERATIVA TAXI LA FE R.L"
"CR-07647","FIANZA SOLIDARIA LINEA DE TAXI ASOC. DE AUTOS LIBRES ""PARQUE LOS MANGOS"""
"CR-07648","FIANZA PERSONAL OTORGADA POR LA ASOCIACION CIVIL TAXI LA HORMIGA"
"CR-07649","FIANZA SOLIDARIA LINEA DE TAXI COOP. BATALLA DE BARINAS 04"
"CR-07650","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA BATALLA DE BARINAS 04"
"CR-07651","FIANZA SOLIDARIA LINEA ASOC. CIVIL TELE-TAXI BARINAS"
"CR-07652","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA BATALLA DE BARINAS 04"
"CR-07653","FIANZA SOLIDARIA LINEA COOP. BATALLA DE BARINAS 04"
"CR-07654","PRENDA SIN DESPLAZAMIENTO DE POSESION SOBRE LAS MAQUINARIAS Y EQUIPOS"
"CR-07660","PRENDA DE DESPLAZAMIENTO DE POSESION SOBRE LAS MAQUINAS Y EQUIPOS"
"CR-07664","FIANZA SOLIDARIA OTORGADA POR LA ASOCIACION CIVIL TELE-TAXI BARINAS"
"CR-07678","HIPOTECA ESPECIAL DE PRIMER GRADO SOBRE UN INMUEBLE PROPIEDAD DEL CIUDADANO CASTILLO SERGIO JUBANI"
"CR-07686","FIANZA SOLIDARIA"
"CR-07689","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07691","GARANTIA REAL"
"CR-07692","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07694","FIANZA  SOLIDARIA DE LA LINEA DE TAXI ASOC. COOP. DE TAXIS ""DOÑA ELENA"""
"CR-07697","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07698","FIANZA PERSONAL"
"CR-07699","FIANZA SOLIDARIA DE LA LINEA DE TAXI BARINAS 2021"
"CR-07700","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07701","FIANZA SOLIDARIA"
"CR-07702","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07703","FIANZA PERSONAL"
"CR-07704","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07705","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07706","FIANZA PERSONAL"
"CR-07707","FIANZA SOLIDARIA DE LA LINEA DE TAXI ASOC. CIVIL DE CONDUCTORES MI RANCHITO"
"CR-07709","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07710","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07711","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07713","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07714","FIANZA PERSONAL"
"CR-07715","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07716","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07717","FIANZA SOLIDARIA DE LA LINEA DE TAXI  RICEL D' VENEZUELA"
"CR-07718","FIANZA SOLIDARIA DE LA LINEA DE TAXI ASOC. COOPERATIVA DE TAXI BARINAS 2021"
"CR-07719","FIANZA SOLIDARIA DE LA LINEA DE TAXI COOP. BATALLA DE BARINAS 04"
"CR-07720","FIANZA PERSONAL"
"CR-07721","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07723","FIANZA PERSONAL"
"CR-07724","HIPOTECA MOBILIARIA DE LA UNIDAD DE TRANSPORTE"
"CR-07725","FIANZA SOLIDARIA DE LA LINEA DE TAXI ASOC. CIVIL DE CONDUCTORES MI RANCHITO"
"CR-07726","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07727","HIPOTECA MOBILIARIA DE LA UNIDAD DE TRANSPORTE"
"CR-07728","FIANZA SOLIDARIA DE LA LINEA DE TAXI ASOC. COOP. BOLIVARIANA DE TAXI BARINAS 2021"
"CR-07729","HIPOTECA MOBILIARIA DE LA UNIDAD DE TRANSPORTE"
"CR-07731","HIPOTECA MOBILIARIA DE LA UNIDAD DE TRANSPORTE"
"CR-07732","FIANZA SOLIDARIA DE LA LINEA DE TAXI LA FE"
"CR-07733","FIANZA SOLIDARIA DE LA LINEA DE TAXI ASO. CIVIL DE CONDUCTORES MI RANCHITO"
"CR-07735","PRENDA SOBRE MAQUINARIAS Y EQUIPOS"
"CR-07736","FIANZA SOLIDARIA DE LA LINEA DE TAXI SOCIEDAD CIVIL DE TRANSPORTE TAXI RICEL D' VENEZUELA"
"CR-07737","FIANZA SOLIDARIA DE LA LINEA DE TAXI SOC. CIVIL DE TRANSPORTE TAXI RICEL D' VENEZUELA"
"CR-07738","FIANZA SOLIDARIA DE LA LINEA DE TAXI COOP. BATALLA DE BARINAS 04"
"CR-07740","FIANZA SOLIDARIA"
"CR-07742","FIANZA SOLIDARIA DE LA LINEA DE TAXI ASOC. COOPERATIVA TAXI LA FE R.L."
"CR-07743","FIANZA SOLIDARIA DE LA LINEA DE TAXI ASOC. COOP. DE TAXI BARINAS 2021"
"CR-07744","FIANZA PERSONAL"
"CR-07745","FIANZA SOLIDARIA"
"CR-07746","FIANZA SOLIDARIA DE LA LINEA DE TAXI ASOC. COOP. DE TAXI BARINAS 2021"
"CR-07747","FIANZA SOLIDARIA DE LA LINEA DE TAXI SOC. CIVIL MADRE VIEJA"
"CR-07748","FIANZA SOLIDARIA COOP. BATALLA DE BARINAS 04"
"CR-07749","PRENDA MAQUINAS Y EQUIPOS"
"CR-07752","FIANZA SOLIDARIA  DE LA LINEA DE TAXI ASOC. COOP. BOLIVARIANA DE TAXI BARINAS 2021"
"CR-07753","FIANZA PERSONAL"
"CR-07754","FIANZA SOLIDARIA DE LA LINEA DE TAXI RICEL D' VENEZUELA"
"CR-07756","FIANZA SOLIDARIA DE LA LINEA DE TAXI PARQUE LOS MANGOS"
"CR-07767","HIPOTECA ESPECIAL DE PRIMER GRADO SOBRE UN INMUEBLE."
"CR-07768","PRENDA SIN DESPLAZAMIENTO DE POSESION SOBRE UNA MAQUINARIA Y EQUIPOS."
"CR-07769","HIPOTECA MOBILIARIA SOBRE EL VEHICULO."
"CR-07770","FIANZA SOLIDARIA SOBRE LA ASOC. DE TAXI EL VATICANO"
"CR-07771","FIANZA SOLIDARIA SOBRE LOS SOCIOS DE LA COOPERATIVA PAN DE DIOS"
"CR-07772","FIANZA SOLIDARIA SOBRE LA COOPERATIVA MULTIMEDIOS"
"CR-07773","FIANZA SOLIDARIA SOBRE COOPERATIVA PLASMA 2021"
"CR-07780","HIPOTECA MOVILIARIA SOBRE EL VEHICULO"
"CR-07781","HIPOTECA ESPECIAL DE PRIMER GRADO SOBRE UNOS DERECHOS Y ACCIONES"
"CR-07785","HIPOTECA MOVILIARIA SOBRE EL VEHICULO"
"CR-07786","FIANZA SOLIDARIA SOBRE LA ASOC. COOPERATIVA BARIANS 2021"
"CR-07787","FIANZA SOLIDARIA SOBRE LOS SOCIOS PRINCIPALES DE LA COOPERATIVA ANGID"
"CR-07789","FIANZA SOLIDARIA SOBRE LOS SOCIOS PRINCIPALES DE LA COOPERATIVA DARS"
"CR-07790","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07791","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07792","FIANZA SOLIDARIA POR PARTE DE LOS PRINCIPALES SOCIOS DE LA COOPERATIVA."
"CR-07793","HIPOTECA ESPECIAL DE PRIMER GRADO SOBRE UN INMOBILIARIO (CASA)"
"CR-07795","PRENDA SIN DESPLAZAMIENTO DE POSESION SOBRE LAS MAQUINAS Y EQUIPOS."
"CR-07796","HIPOTECA MOBILIARIA SOBRE EL VEHICULO."
"CR-07797","HIPOTECA MOBILIARIA SOBRE EL VEHICULO."
"CR-07798","FIANZA SOLIDARIA POR LA LINEA DE TRANSPORTE RICEL DE VENEZUELA."
"CR-07799","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07802","CREDITO MANCOMUNADO: LABORDA DE RODRIGUEZ ANAIS C.I 15.537.851"
"CR-07805","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07808","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07811","FIANZA SOLIDARIA DE LA LINEA DE TRANSPORTE ASOC. CONDUCTORES EL CARMEN"
"CR-07813","FIANZA SOLIDARIA DE LA LINEA BATALLA DE BARINAS"
"CR-07830","HIPOTECA MOBILIARIA, E HIPOTECA SOBRE TIERRAS Y BIENECHURIAS"
"CR-07833","FIANZA SOLIDARIA SOBRE LOS SOCIOS PRINCIPALES DE LA COOPERATIVA"
"CR-07834",
"CR-07839","CREDITO MANCOMUNADO"
"CR-07843","FIANZA SOLIDARIA SOBRE LOS SOCIOS PRINCIPALES"
"CR-07845","Fianza Solidadaria sobre los Socios Principales de la Cooperativa"
"CR-07848","Fianza Solidaria sobre los Socios Principales de la Cooperativa"
"CR-07852","Fianza Solidadria sobre los Socios principales"
"CR-07853","Prenda sin Desplazamiento de Psesión sobre las Máquinas y Equipos"
"CR-07878","FIANZA SOLIDARIO SOBRE TODOS LOS SOCIOS DE LA COOPERATIVA.ESTE CREDITO TIENE UNA PARTE REVOCADA SE EXIGE EL PAGO TOTAL"
"CR-07879","ESTE BENEFICIARIO TIENE PARTE DEL CREDITO REVOCADO POR LO TANTO SE EXIGE EL PAGO TOTAL"
"CR-07880","ESTE BENEFICIARIO SE LE REVOCO PARTE DEL CREDITO POR LO TANTO SE EXIGUE EL PAGO TOTAL DEL MISMO"
"CR-07881","ESTE BENEFICIARIO SE LE REVOCO UNA PARTE DEL CREDITO POR LO TANTO SE EXIGE EL PAGO TOTAL ."
"CR-07882","ESTE BENEFICIARIO SE LE REVOCO UNA PARTE DEL CREDITO POR LO TANTO SE EXIGE EL PAGO TOTAL"
"CR-07982","FIANZA SOLIDARIA SOBRE TODOS LOS SOCIOS DE LA COOPERATIVA"
"CR-07983","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA TORUNOS EL REAL"
"CR-07984","FIANZA SOLIDARIA SOBRE LA COOPERATIVA TORUNOS EL REAL"
"CR-07985","FIANZA SOLIDARIA SOBRE LA COOP. RAUL VILLANUEVA"
"CR-07986","PRENDA SIN DESPLAZAMIENTO DE POSESION SOBRE LAS MQUINAS Y EQUIPOS ADQUIRIDOS EN EL CREDITO"
"CR-07987","FIANZA SOLIDARIA SOBRE TODOS LOS SOCIOS DE LA COOPERATIVA LOS PADRES DE BARINAS"
"CR-07988","HIPOTECA ESPECIAL DE PRIMER GRADO SOBRE UNA PARCELA UBICADA EN LA URB. DON JUAN"
"CR-07989","FIANZA SOLIDARIA SOBRE LA COOPERATIVA DOÑA ELENA"
"CR-07990","FIANZA SOLIDARIA POR LA COOPERATIVA 2021"
"CR-07991","FIANZA SOLIDARIA SOBRE LA COOPERATIVA BARINAS 2021"
"CR-07992","FIANZA SOLIDARIA POR LA ASOCIACION CIVIL TELE TAXI"
"CR-07993","FIANZA SOLIDARIA POR LA COOPERATIVA DOÑA ELENA"
"CR-07994","FIANZA SOLIDARIA POR LA ASOCIACION COOPERATIVA DOÑA ELENA"
"CR-07995","FIANZA SOLIDARIA SOBRE LA ASOCIACION CIVIL LA HORMIGUITA"
"CR-07996","FIANZA SOLIDARIA OTORGADA POR LA ASOCIACION CIVIL LA HORMIGUITA"
"CR-07997","FIANZA SOLIDARIA SOBRE LA ASOCIACION CIVIL EL VATICANO"
"CR-07998","FIANZA SOLIDARIA OTORGADA POR LA ASOCIACION CIVIL TELE TAXI"
"CR-07999","FIANZA SOLIDARIA OTORGADA POR LA ASOCIACION CIVIL EL VATICANO"
"CR-08000","FIANZA SOLIDARIA OTORGADA POR LA ASOCIACION CIVIL EL VATICANO"
"CR-08001","FIANZA SOLIDARIA SOBRE LA ASOCIACION CIVIL LINEA RAZETTI"
"CR-08002","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA TORUNOS EL REAL"
"CR-08003","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA TORUNOS EL REAL"
"CR-08004","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA TORUNOS EL REAL"
"CR-08005","FIANZA SOLIDARIA OTORGADA POR LA ASOC. CIVIL TELE TAXI"
"CR-08006","FIANZA SOLIDARIA OTORGADA POR LA ASOC. CIVIL TELE TAXI"
"CR-08007","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA BARINAS 2021"
"CR-08008","FIANZA SOLIDARIA OTORGADA POR LA ASOC. CIVIL SUPER TAXI RICEL DE VZLA"
"CR-08009","FIANZA SOLIDARIA OTORGADA POR LA ASOC. CIVIL SUPER TAXI RICEL DE VZLA"
"CR-08010","FIANZA SOLIDARIA OTORGADA POR LA ASOC. CIVIL TAXI FUNSALUD"
"CR-08011","FIANZA SOLIDARIA SOBRE TODOS LOS SOCIOS DE LA COOPERATIVA"
"CR-08012","FIANZA SOLIDARIA ASOC. CIVIL TAXI EL VATICANO"
"CR-08013","FIANZA SOLIDARIA OTORGADA POR LA ASOCIACION CIVIL TAXI LA HORMIGUITA"
"CR-08014","FIANZA SOLIDARIA OTORGADA POR LA COOP. CARLOS RAUL VILLANUEVA"
"CR-08015","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA TAXI CARLOS RAUL VILLANUEVA R.L."
"CR-08016","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA TAXI CARLOS RAUL VILLANUEVA R.L."
"CR-08017","FIANZA PERSONAL"
"CR-08018","FIANZA PERSONAL"
"CR-08019","FIANZA SOLIDARIA  DE TODOS LOS SOCIOS DE LA POSADA TURISTICA LA GRAN CHEMA"
"CR-08022","FIANZA SOLIDARIA OTORGADA POR LA ASOC. CIVIL CLINICA NTRA. SEÑORA DEL PILAR"
"CR-08023","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-08024","FIANZA SOLIDARIA OTORGADA POR LA ASOC. CIVIL DE TAXIS ""EL VATICANO"""
"CR-08025","FIANZA SOLIDARIA OTORGADA POR LA ASOCIACION CIVIL TAXI LA HORMIGUITA"
"CR-08026","FIANZA SOLIDARIA OTORGADA POR LA COOP. EL VATICANO 123 R.L."
"CR-08027","FIANZA SOLIDARIA OTORGADA POR LA COOP. EL VATICANO 123 R.L."
"CR-08028","FIANZA SOLIDARIA OTORGADA POR LA COOP. DOÑA ELENA"
"CR-08029","FIANZA SOLIDARIA OTORGADA POR LA COOP. EL VATICANO 123 R.L"
"CR-08030","FIANZA SOLIDARIA OTORGADA POR LA COOP. DE TAXI CARLOS RAUL VILLANUEVA R.L."
"CR-08031","FIANZA SOLIDARIA OTORGADA POR LA COOP. EL VATICANO 123 R.L."
"CR-08032","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA BARINAS 2021"
"CR-08033","FIANZA SOLIDARIA OTORGADA POR LA COOPERATIVA BARINAS 2021"
"CR-08034","FIANZA SOLIDARIA OTORGADA POR LA COOP. BARINAS 2021"
"CR-08035","FIANZA SOLIDARIA OTORGADA PO ÑA COOP. BARINAS 2021"
"CR-08036","FIANZA SOLIDARIA OTORGADA POR LA ASOC. CIVIL DE TRANSPORTE SUPER TAXI RICEL D` VENEZUELA"
"CR-08037","FIANZA SOLIDARIA OTORGADA POR LA ASOC. CIVIL DE TRANSPORTE SUPER TAXI RICEL D' VENEZUELA"
"CR-08038","FIANZA SOLIDARIA OTORGADA POR LA ASOC. CIVIL DE TRANSPORTE SUPER TAXI RICEL' DE VENEZUELA"
"CR-08039","FIANZA SOLIDARIA OTORGADA POR LA ASOC. CIVIL DE TRANSPORTE SUPER TAXI RICEL D' VENEZUELA"
"CR-08040","FIANZA SOLIDARIA OTORGADA POR LA ASOC. CIVIL TAXI LA HORMIGUITA"
